"","cyear","ccode","scode","country","year","democ","autoc","polity","polity2","region","gdp_per_capita","pop","population"
"68",4022017,402,"CAP","Cabo Verde",2017,10,0,10,10,"Africa",3209.7,546388,"< 10 Million"
"69",4042017,404,"GNB","Guinea-Bissau",2017,7,1,6,6,"Europe and North America",723.658621625927,1861283,"< 10 Million"
"70",4112017,411,"EQG","Equatorial Guinea",2017,0,6,-6,-6,"Africa",9850.01358478141,1267689,"< 10 Million"
"71",4202017,420,"GAM","Gambia, The",2017,4,0,4,4,"Africa",483,2100568,"< 10 Million"
"72",4322017,432,"MLI","Mali",2017,6,1,5,5,"Africa",824.516225735344,18541980," 10M - 30M"
"73",4332017,433,"SEN","Senegal",2017,7,0,7,7,"Africa",1033.06990554174,15850567," 10M - 30M"
"74",4342017,434,"BEN","Benin",2017,7,0,7,7,"Africa",829.797230600794,11175692," 10M - 30M"
"75",4352017,435,"MAA","Mauritania",2017,0,2,-2,-2,"Africa",1136.76397506006,4420184,"< 10 Million"
"76",4362017,436,"NIR","Niger",2017,6,1,5,5,"Africa",378.060307656456,21477348," 10M - 30M"
"77",4372017,437,"IVO","Cote D'Ivoire",2017,5,1,4,4,"Africa",1662.44246666917,24294750," 10M - 30M"
"78",4382017,438,"GUI","Guinea",2017,4,0,4,4,"Africa",825.344929766329,12717176," 10M - 30M"
"79",4392017,439,"BFO","Burkina Faso",2017,7,1,6,6,"Africa",670.705913111953,19193382," 10M - 30M"
"80",4502017,450,"LBR","Liberia",2017,7,1,6,6,"Africa",456.053015423383,4731906,"< 10 Million"
"81",4512017,451,"SIE","Sierra Leone",2017,8,1,7,7,"Africa",499.426295360288,7557212,"< 10 Million"
"82",4522017,452,"GHA","Ghana",2017,8,0,8,8,"Africa",1641.48662461369,28833629," 10M - 30M"
"83",4612017,461,"TOG","Togo",2017,1,3,-2,-2,"Africa",617.176609668093,7797694,"< 10 Million"
"84",4712017,471,"CAO","Cameroon",2017,1,5,-4,-4,"Africa",1446.7028948332,24053727," 10M - 30M"
"85",4752017,475,"NIG","Nigeria",2017,8,1,7,7,"Africa",1968.55768113599,190886311,"100M - 300M"
"86",4812017,481,"GAB","Gabon",2017,4,1,3,3,"Africa",7220.68723532493,2025137,"< 10 Million"
"87",4822017,482,"CEN","Central African Republic",2017,7,1,6,6,"Africa",418.411287036182,4659080,"< 10 Million"
"88",4832017,483,"CHA","Chad",2017,1,3,-2,-2,"Africa",669.886425875931,14899994," 10M - 30M"
"89",4842017,484,"CON","Congo, Rep.",2017,0,4,-4,-4,"Africa",1658,5260750,"< 10 Million"
"90",4902017,490,"ZAI","Congo, Dem. Rep.",2017,1,4,-3,-3,"Africa",457.8,81339988,"70M - 100M"
"91",5002017,500,"UGA","Uganda",2017,1,2,-1,-1,"Africa",604.04274819749,42862958,"30M - 50M"
"92",5012017,501,"KEN","Kenya",2017,9,0,9,9,"Africa",1507.81486384924,49699862,"30M - 50M"
"93",5102017,510,"TAZ","Tanzania",2017,4,1,3,3,"Africa",936.330767971897,57310019,"50M - 70M"
"94",5162017,516,"BUI","Burundi",2017,2,3,-1,-1,"Africa",320.086870120894,10864245," 10M - 30M"
"95",5172017,517,"RWA","Rwanda",2017,0,3,-3,-3,"Africa",748.393259996558,12208407," 10M - 30M"
"96",5202017,520,"SOM","Somalia",2017,5,0,5,5,"Africa",499.816801687482,14742523," 10M - 30M"
"97",5222017,522,"DJI","Djibouti",2017,3,0,3,3,"Africa",1927.58970569415,956985,"< 10 Million"
"98",5252017,525,"SSU","South Sudan",2017,-77,-77,-77,0,"Africa",237.4,12575714," 10M - 30M"
"99",5292017,529,"ETI","Ethiopia",2017,1,4,-3,-3,"Africa",767.563477815809,104957438,"100M - 300M"
"100",5312017,531,"ERI","Eritrea",2017,0,7,-7,-7,"Africa",582.8,4474690,"< 10 Million"
"101",5402017,540,"ANG","Angola",2017,2,4,-2,-2,"Africa",4170.31228024945,29784193," 10M - 30M"
"102",5412017,541,"MZM","Mozambique",2017,6,1,5,5,"Africa",415.717716654351,29668834," 10M - 30M"
"103",5512017,551,"ZAM","Zambia",2017,6,0,6,6,"Africa",1509.79701345174,17094130," 10M - 30M"
"104",5522017,552,"ZIM","Zimbabwe",2017,5,1,4,4,"Africa",1079.60829052607,16529904," 10M - 30M"
"105",5532017,553,"MAW","Malawi",2017,6,0,6,6,"Africa",338.483642385459,18622104," 10M - 30M"
"106",5602017,560,"SAF","South Africa",2017,9,0,9,9,"Africa",6160.73456881527,56717156,"50M - 70M"
"107",5652017,565,"NAM","Namibia",2017,6,0,6,6,"Africa",5227.18000967398,2533794,"< 10 Million"
"108",5702017,570,"LES","Lesotho",2017,9,1,8,8,"Africa",1181.81175872882,2233339,"< 10 Million"
"109",5712017,571,"BOT","Botswana",2017,8,0,8,8,"Africa",7595.59584978559,2291661,"< 10 Million"
"110",5722017,572,"SWA","Eswatini",2017,0,9,-9,-9,"Africa",3224.4,1367254,"< 10 Million"
"111",5802017,580,"MAG","Madagascar",2017,6,0,6,6,"Africa",449.722381894452,25570895," 10M - 30M"
"112",5812017,581,"COM","Comoros",2017,9,0,9,9,"Oceania (Island States)",797.286368474789,813912,"< 10 Million"
"113",5902017,590,"MAS","Mauritius",2017,10,0,10,10,"Oceania (Island States)",10547.2168347253,1264613,"< 10 Million"
"114",6002017,600,"MOR","Morocco",2017,1,5,-4,-4,"Africa",3007.24287724321,35739580,"30M - 50M"
"115",6152017,615,"ALG","Algeria",2017,3,1,2,2,"Africa",4123.38993650709,41318142,"30M - 50M"
"116",6162017,616,"TUN","Tunisia",2017,7,0,7,7,"Africa",3490.82829288382,11532127," 10M - 30M"
"117",6202017,620,"LIB","Libya",2017,-77,-77,-77,0,"Africa",7998.02881906883,6374616,"< 10 Million"
"118",6262017,626,"SDN","Sudan",2017,0,4,-4,-4,"Asia",2898.5,40533330,"30M - 50M"
"119",6302017,630,"IRN","Iran, Islamic Rep.",2017,0,7,-7,-7,"Asia",5415.2,81162788,"70M - 100M"
"120",6402017,640,"TUR","Turkey",2017,0,4,-4,-4,"Asia",10540.617998709,80745020,"70M - 100M"
"121",6452017,645,"IRQ","Iraq",2017,6,0,6,6,"Asia",5165.71415658829,38274618,"30M - 50M"
"122",6512017,651,"EGY","Egypt, Arab Rep.",2017,0,4,-4,-4,"Africa",2412.7,97553151,"70M - 100M"
"123",6522017,652,"SYR","Syrian Arab Republic",2017,0,9,-9,-9,"Asia",2058,18269868," 10M - 30M"
"124",6602017,660,"LEB","Lebanon",2017,6,0,6,6,"Asia",8523.74955005489,6082357,"< 10 Million"
"125",6632017,663,"JOR","Jordan",2017,2,5,-3,-3,"Asia",4129.75167119517,9702353,"< 10 Million"
"126",6662017,666,"ISR","Israel",2017,7,1,6,6,"Asia",40270.2513460448,8712400,"< 10 Million"
"127",6702017,670,"SAU","Saudi Arabia",2017,0,10,-10,-10,"Asia",20760.9060117662,32938213,"30M - 50M"
"128",6792017,679,"YEM","Yemen, Rep.",2017,-77,-77,-77,0,"Asia",660.3,28250420," 10M - 30M"
"129",6902017,690,"KUW","Kuwait",2017,0,7,-7,-7,"Asia",29040.3637091117,4136528,"< 10 Million"
"130",6922017,692,"BAH","Bahrain",2017,0,10,-10,-10,"Asia",23655.0356024013,1492584,"< 10 Million"
"131",6942017,694,"QAT","Qatar",2017,0,10,-10,-10,"Asia",63505.805250213,2639211,"< 10 Million"
"132",6962017,696,"UAE","United Arab Emirates",2017,0,8,-8,-8,"Asia",40698.8,9400145,"< 10 Million"
"133",6982017,698,"OMA","Oman",2017,0,8,-8,-8,"Asia",15668.3666272179,4636262,"< 10 Million"
"134",7002017,700,"AFG","Afghanistan",2017,1,2,-1,-1,"Asia",585.85006378237,35530081,"30M - 50M"
"135",7012017,701,"TKM","Turkmenistan",2017,0,8,-8,-8,"Asia",7355.83134492492,5758075,"< 10 Million"
"136",7022017,702,"TAJ","Tajikistan",2017,1,4,-3,-3,"Asia",800.966964138605,8921343,"< 10 Million"
"137",7032017,703,"KYR","Kyrgyz Republic",2017,8,0,8,8,"Asia",1219.8,6201500,"< 10 Million"
"138",7042017,704,"UZB","Uzbekistan",2017,0,9,-9,-9,"Asia",1504.22654579673,32387200,"30M - 50M"
"139",7052017,705,"KZK","Kazakhstan",2017,0,6,-6,-6,"Asia",8837.45730230661,18037646," 10M - 30M"
"140",7102017,710,"CHN","China",2017,0,7,-7,-7,"Asia",8826.99409574835,1386395000,"> 1B"
"141",7122017,712,"MON","Mongolia",2017,10,0,10,10,"Asia",3735.16430235429,3075647,"< 10 Million"
"142",7132017,713,"TAW","Taiwan",2017,10,0,10,10,"Asia",25534,23562318," 10M - 30M"
"143",7312017,731,"PRK","Korea, Dem. People’s Rep.",2017,0,10,-10,-10,"Asia",1800,25490965," 10M - 30M"
"144",7322017,732,"ROK","Korea, Rep.",2017,8,0,8,8,"Asia",29742.8,51466201,"50M - 70M"
"145",7402017,740,"JPN","Japan",2017,10,0,10,10,"Asia",38428.0973168279,126785797,"100M - 300M"
"146",7502017,750,"IND","India",2017,9,0,9,9,"Asia",1939.61298448814,1339180127,"> 1B"
"147",7602017,760,"BHU","Bhutan",2017,6,1,5,5,"Asia",3110.23011252519,807610,"< 10 Million"
"148",7702017,770,"PAK","Pakistan",2017,7,0,7,7,"Asia",1547.85341366929,197015955,"100M - 300M"
"149",7712017,771,"BNG","Bangladesh",2017,3,2,1,1,"Asia",1516.51342307197,164669751,"100M - 300M"
"150",7752017,775,"MYA","Myanmar",2017,8,0,8,8,"Asia",1298.9,53370609,"50M - 70M"
"151",7802017,780,"SRI","Sri Lanka",2017,7,1,6,6,"Asia",4065.22487411082,21444000," 10M - 30M"
"152",7902017,790,"NEP","Nepal",2017,6,0,6,6,"Asia",835.079846579319,29304998," 10M - 30M"
"153",8002017,800,"THI","Thailand",2017,0,3,-3,-3,"Asia",6593.8198059239,69037513,"50M - 70M"
"154",8112017,811,"CAM","Cambodia",2017,0,4,-4,-4,"Asia",1384.42318730336,16005373," 10M - 30M"
"155",8122017,812,"LAO","Lao PDR",2017,0,7,-7,-7,"Asia",2457.4,6858160,"< 10 Million"
"156",8182017,818,"VIE","Vietnam",2017,0,7,-7,-7,"Asia",2343.12457457605,95540800,"70M - 100M"
"157",8202017,820,"MAL","Malaysia",2017,6,1,5,5,"Asia",9944.90430018576,31624264,"30M - 50M"
"158",8302017,830,"SIN","Singapore",2017,2,4,-2,-2,"Asia",57714.2966313778,5612253,"< 10 Million"
"159",8402017,840,"PHI","Philippines",2017,8,0,8,8,"Asia",2988.95270336383,104918090,"100M - 300M"
"160",8502017,850,"INS","Indonesia",2017,9,0,9,9,"Asia",3846.86432330998,263991379,"100M - 300M"
"161",8602017,860,"ETM","Timor-Leste",2017,9,1,8,8,"Oceania (Island States)",2279.3,1296311,"< 10 Million"
"162",9002017,900,"AUL","Australia",2017,10,0,10,10,"Oceania (Island States)",53799.9380899599,24598933," 10M - 30M"
"163",9102017,910,"PNG","Papua New Guinea",2017,5,0,5,5,"Asia",2555.85316162118,8251162,"< 10 Million"
"164",9202017,920,"NEW","New Zealand",2017,10,0,10,10,"Oceania (Island States)",42940.5782879727,4793900,"< 10 Million"
"165",9402017,940,"SOL","Solomon Islands",2017,9,1,8,8,"Oceania (Island States)",2132.1150583547,611343,"< 10 Million"
"166",9502017,950,"FJI","Fiji",2017,3,1,2,2,"Oceania (Island States)",5589.38883340896,905502,"< 10 Million"
